,price,retail_price,units_sold,uses_ad_boosts,rating,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,product_variation_inventory,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,merchant_rating_count,merchant_rating,merchant_has_profile_picture,tag_quality,tag_count,title_localised,com_same_name,subtitle_rating,discount_rate,merch_pop_proc,color__Blue,color__Pink,color__RED,color__Rose red,color__applegreen,color__apricot,color__army,color__army green,color__beige,color__black,color__black & blue,color__black & stripe,color__black & yellow,color__blackwhite,color__blue,color__blue & pink,color__blue & white,color__blue blue,color__brown,color__brown & yellow,color__burgundy,color__camel,color__claret,color__coolblack,color__coralred,color__darkgreen,color__denimblue,color__dual,color__dustypink,color__gold,color__gray & white,color__green,color__grey,color__greysnakeskinprint,color__ivory,color__jasper,color__lakeblue,color__light green,color__lightgray,color__lightgreen,color__lightgrey,color__lightpurple,color__lightred,color__lightyellow,color__mintgreen,color__nude,color__offblack,color__offwhite,color__orange,color__orange & other,color__other,color__otherprint,color__pink,color__pink & black,color__pink & blue,color__pink & grey,color__pink & white,color__prussianblue,color__purple,color__rainbow,color__red,color__red & blue,color__red & yellow,color__redgold,color__silver,color__star,color__tan,color__violet,color__watermelonred,color__white,color__white & black,color__white & red,color__whiteother,color__whitestripe,color__wine,color__wine red,color__yellow,size__M,size__OTHER,size__S,size__XL,size__XS,size__XXL,size__XXS,size__XXXS,size__XXXXL,size__XXXXXL,country__CN,country__GB,country__SG,country__US,country__VE
1205,3.83,4,10000,0,3.64,0.43316412859560066,0.17428087986463622,0.1551043429216018,0.07896221094190638,0.15848843767625492,0,0,0,0,50,1,0,48,50,1.0,32168,3.8845436458592384,0,0.8,21,1,0,1,0.04249999999999998,0.05511688634667993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1206,7.0,6,100,0,3.69,0.43661971830985913,0.16901408450704225,0.15492957746478872,0.1267605633802817,0.11267605633802817,0,0,0,0,50,2,0,36,50,,12134,3.86690291742212,0,0.5,16,1,1,1,-0.16666666666666666,0.005851326850173068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1207,15.0,13,100,0,4.11,0.5178571428571429,0.25,0.125,0.03571428571428571,0.07142857142857142,0,0,0,0,50,4,0,41,50,1.0,2166,4.030470914127424,0,0.7,18,1,1,1,-0.15384615384615385,0.02585410895660203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1208,3.92,4,20000,1,3.76,0.4522555530112205,0.18158919166475843,0.1561712846347607,0.09090909090909091,0.11907487978016945,0,0,0,0,7,1,0,36,50,,55499,4.138885385322259,0,0.7,14,1,1,1,0.020000000000000018,0.07868610245229644,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1209,11.0,20,100,0,3.43,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.21428571428571427,0,0,0,0,50,2,0,34,50,,3120,4.174679487179486,0,0.8,17,1,1,1,0.45,0.004487179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1210,6.0,6,10,0,4.75,0.75,0.25,0.0,0.0,0.0,0,0,0,0,5,2,0,25,50,,5123,3.9586179972672255,0,0.6,18,0,1,1,0.0,0.0007807925043919579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1211,2.65,3,20000,0,3.4,0.35782747603833864,0.1722335172814406,0.18065640429857682,0.0949753122277084,0.19430729015393552,0,0,0,0,50,1,0,31,50,,68022,4.320587456999206,1,0.4,9,1,0,1,0.1166666666666667,0.05061597718385228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1212,3.71,4,100,1,3.44,0.5,0.0625,0.125,0.0,0.3125,0,0,0,0,1,1,0,23,50,,12309,4.0451702006661785,1,0.5,15,1,0,1,0.07250000000000001,0.0012998618896742221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1213,13.0,26,100,0,3.78,0.4594594594594595,0.21621621621621623,0.13513513513513514,0.02702702702702703,0.16216216216216217,0,0,0,0,50,3,0,41,50,,1022,3.86399217221135,0,0.7,21,1,1,0,0.5,0.036203522504892366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1214,12.0,11,1000,0,3.59,0.3812154696132597,0.23204419889502761,0.14917127071823205,0.0718232044198895,0.16574585635359115,0,0,0,0,50,3,0,54,50,,4924,3.81965881397238,0,0.5,16,1,1,1,-0.09090909090909091,0.036758732737611696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
